정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
10938,498000000564,산림복합경영단지 조성 지원,오프라인,"현금,현물",전라남도,장성군,무관,"농업, 임업 및 어업",0.0,0.0
10939,498000000535,농촌 자원 복합산업화지원,오프라인,"현금,현물",전라남도,장성군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업/예술, 스포츠 및 여가관련 서비스업",0.0,0.0
10940,498000000537,농촌공동체회사 우수 지원(농촌자원복합산업화지원),오프라인,"현금,현물",전라남도,장성군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10941,491000000291,FTA 피해 보전 직불금 지원,오프라인,"현금,현물",전라남도,장흥군,무관,"농업, 임업 및 어업/도매 및 소매업",0.0,0.0
10942,500000000194,구제역 백신 접종비 지원,오프라인,"현금,현물",전라남도,진도군,무관,"농업, 임업 및 어업",0.0,0.0
10943,500000000301,유기질비료 지원,오프라인,"현금,현물",전라남도,진도군,무관,"농업, 임업 및 어업",0.0,0.0
10944,500000000366,축산물 직거래 활성화 지원,오프라인,정보제공,전라남도,진도군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업",0.0,0.0
10945,500000000354,천일염 생산시설 자동화 지원,오프라인,기타,전라남도,진도군,중소기업/소상공인,"농업, 임업 및 어업/수도, 하수 및 폐기물 처리, 원료 재생업",0.0,0.0
10946,500000000355,천일염 포장재 지원,오프라인,기타,전라남도,진도군,무관,"농업, 임업 및 어업",0.0,0.0
10948,498000000477,농산물마케팅 지원(농산물마케팅지원사업),복합,"교육,용역",전라남도,장성군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10949,500000000246,밭 농업 직불금 지원,오프라인,"현금,현물",전라남도,진도군,무관,"농업, 임업 및 어업",0.0,0.0
10951,500000000323,자활 근로 지원,오프라인,정보제공,전라남도,진도군,무관,"전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
10952,500000000211,농가경영개선 실천교육 및 맞춤형 컨설팅 등 지원(강소농육성사업),오프라인,"교육,용역",전라남도,진도군,무관,"농업, 임업 및 어업/제조업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10953,500000000212,농기계 임대 서비스 제공,복합,"현금,현물",전라남도,진도군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10954,499000000321,밭 농업 직불금 지원,오프라인,"현금,현물",전라남도,완도군,무관,"농업, 임업 및 어업",0.0,0.0
10955,499000000327,사회적기업 일자리 창출 지원,온라인,"현금,현물",전라남도,완도군,중소기업/소상공인,무관,0.0,0.0
10956,498000000478,6차산업 자금 융자 지원,오프라인,"현금,현물",전라남도,장성군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업",0.0,0.0
10957,491000000305,경관보전 비용 지원,오프라인,기타,전라남도,장흥군,무관,"농업, 임업 및 어업",0.0,0.0
10958,491000000424,우수 후계농업경영인 추가 지원,오프라인,"현금,현물",전라남도,장흥군,무관,"농업, 임업 및 어업",0.0,0.0
10959,491000000370,밭 농업 직불금 지원,오프라인,"현금,현물",전라남도,장흥군,무관,"농업, 임업 및 어업",0.0,0.0
10961,500000000164,2019년 농산물 공동출하확대 지원(공동선별비),오프라인,"현금,현물",전라남도,진도군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10962,500000000214,농산물 소형 저온저장고 설치 지원,오프라인,기타,전라남도,진도군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10963,500000000383,히트펌프 설치 지원(친환경에너지 보급 사업),오프라인,기타,전라남도,진도군,중소기업/소상공인,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/건설업",0.0,0.0
