정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
1,116010000027,‘힘내라 대한민국’특별운영자금 (산업은행),복합,"현금,현물",전국,전체,중소기업/중견기업,무관,0.0,0.0
2,119200000016,원양어업 경영자금 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
3,119200000024,수산장비 구입 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업",0.0,0.0
4,119200000027,산지 및 소비지 유통자금 융자 지원,오프라인,"현금,현물",전국,전체,무관,도매 및 소매업,0.0,0.0
5,119200000044,수산경영인회생자금,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
6,119200000045,어업경영자금 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
8,119200000074,천일염 장기저장시설 설치지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
9,119200000075,천일염 생산시설 자동화지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
10,119200000077,천일염포장재지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
11,119200000078,염전 바닥재 개선 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
12,119200000097,연근해어업생산자 단체 자조금 지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
13,119200000111,수산동물질병 예방백신 공급 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
14,119200000116,쏙 구제 장비 구매 및 임대료 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
15,119200000126,양식장 친환경에너지 보급,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/건설업",0.0,0.0
16,119200000136,수출 통관 지원,온라인,"현금,현물",전국,전체,무관,제조업/운수 및 창고업,0.0,0.0
17,119200000138,수출 현지 수출지원센터 운영 지원,오프라인,"현금,현물",전국,전체,무관,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
18,119200000157,수산장비 임대,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
19,119200000171,해양플랜트 서비스산업 기업의 해외진출 촉진 및 유망사업 발굴을 위한 타당성조사 지원사업,오프라인,"현금,현물",전국,전체,무관,운수 및 창고업,0.0,0.0
20,119200000172,"해양수산분야 중소, 중견기업 대상 유망 신산업 발굴 및 투자유치 전략 수립 지원을 위한 투자희망기업 지원사업",온라인,"민원,상담,법률",전국,전체,무관,무관,0.0,0.0
21,119200000195,"친환경수산물(배합사료, 인증) 직불제 지원",오프라인,기타,전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
22,122000000003,YES FTA 컨설팅 지원,복합,기타,전국,전체,무관,무관,0.0,0.0
24,131200000012,사회복지법인 지방세 감면,오프라인,"현금,현물",전국,전체,무관,보건업 및 사회복지 서비스업,0.0,0.0
25,131200000013,사회적기업 지방세 감면,오프라인,"현금,현물",전국,전체,중소기업,무관,0.0,0.0
29,135200000086,아동복지시설 기능보강 지원,오프라인,복지,전국,전체,무관,무관,0.0,0.0
33,137100000004,관광사업체 융자지원 사업,복합,"현금,현물",전국,전체,중견기업,무관,0.0,0.0
36,140000000172,정원산업 진흥 및 창업 지원,오프라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
37,140000000178,산림복합경영단지 조성사업 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
40,142000000001,1인 창조기업마케팅지원사업,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
41,142000000007,중소기업 특성화고 인력양성 지원,복합,복지,전국,전체,중소기업,교육 서비스업,0.0,0.0
42,142000000008,중소기업 내일채움공제(핵심인력 성과보상기금) 지원,복합,"현금,현물",전국,전체,중소기업,부동산업/교육 서비스업/보건업 및 사회복지 서비스업,0.0,0.0
43,142000000014,중소기업장기근속자주택우선공급,온라인,복지,전국,전체,중소기업,무관,0.0,0.0
44,142000000029,중소기업 공동 A/S 지원,복합,기타,전국,전체,중소기업,교육 서비스업,0.0,0.0
45,142000000033,중소기업 제품전용 판매장 설치 지원,온라인,기타,전국,전체,중소기업,도매 및 소매업,0.0,0.0
46,142000000034,유통망진출지원,온라인,기타,전국,전체,중소기업,"도매 및 소매업/정보통신업/전문, 과학 및 기술 서비스업",0.0,0.0
47,142000000039,협동화사업 자금 융자,오프라인,"현금,현물",전국,전체,중소기업,부동산업,0.0,0.0
48,142000000050,수출 유망중소기업 지정,온라인,기타,전국,전체,중소기업,"전문, 과학 및 기술 서비스업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
49,142000000061,중소기업 기술유출 방지 시스템 구축 지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
50,142000000062,맞춤형 기술파트너 지원,온라인,복지,전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
51,142000000063,뿌리기업 육성 지원,복합,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
52,142000000073,재창업기업 사업화 지원,온라인,"현금,현물",전국,전체,중소기업,교육 서비스업,0.0,36.0
54,142000000085,중소기업 인식개선 교육 등,오프라인,기타,전국,전체,중소기업,교육 서비스업,0.0,0.0
55,142000000088,소상공인 재기지원,온라인,복지,전국,전체,소상공인,"수도, 하수 및 폐기물 처리, 원료 재생업/교육 서비스업",0.0,0.0
56,142000000090,장애인 기업 시제품제작 지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
57,142000000096,중소기업 기술사업화 역량강화 지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
58,142000000098,수출 중소기업 융자 지원,복합,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
59,142000000099,청년전용 창업자금 지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,36.0
60,142000000105,전자상거래활용수출 지원,온라인,"현금,현물",전국,전체,중소기업,건설업/도매 및 소매업/운수 및 창고업/교육 서비스업,0.0,0.0
61,142000000115,중소·벤처기업 M&A 활성화 지원,온라인,"현금,현물",전국,전체,무관,교육 서비스업,0.0,0.0
62,142000000116,대·중소 기업 동반진출 지원,온라인,기타,전국,전체,중소기업/대기업,"수도, 하수 및 폐기물 처리, 원료 재생업/도매 및 소매업/정보통신업",0.0,0.0
63,142000000121,공동 시장개척을 위한 중소기업간 수출컨소시엄 지원,복합,"현금,현물",전국,전체,중소기업/중견기업,무관,0.0,0.0
64,142000000122,중소기업간 협업지원,온라인,"현금,현물",전국,전체,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",0.0,0.0
65,142100000003,공공연 연구인력 파견지원사업,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
66,142100000004,신진연구인력 채용지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
67,142100000005,고경력 연구인력 채용지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
68,142100000006,중소기업 국내외 기술교류 지원,온라인,기타,전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
69,142100000007,기술 신용보증 지원,복합,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
70,142100000008,보증연계투자 지원,오프라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
71,142100000009,여성기업확인서 출력,온라인,기타,전국,전체,중소기업,무관,0.0,0.0
72,142100000010,장애인기업확인서 출력,온라인,기타,전국,전체,중소기업,무관,0.0,0.0
73,143000000001,금융 연계 특허기술평가 지원,복합,"현금,현물",전국,전체,중소기업/중견기업,"전문, 과학 및 기술 서비스업",0.0,0.0
74,143000000004,중소기업 지식재산경영 인증 서비스 제공,온라인,기타,전국,전체,중소기업,무관,0.0,0.0
75,143000000007,직무발명보상 우수기업 인증 및 지원,온라인,"현금,현물",전국,전체,중소기업/중견기업,"전문, 과학 및 기술 서비스업",0.0,0.0
76,143000000008,산업재산권 정보제공 수수료 감면,온라인,"현금,현물",전국,전체,중견기업,무관,0.0,0.0
77,143000000009,특허분쟁 신속심판 서비스 제공,복합,기타,전국,전체,중소기업/대기업,"전문, 과학 및 기술 서비스업",0.0,0.0
78,143000000011,해외진출 중소·중견기업 상표·디자인출원,온라인,"현금,현물/민원,상담,법률",전국,전체,중견기업,무관,0.0,0.0
79,143000000012,우선심사 서비스 제공,온라인,"민원,상담,법률",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
80,143000000013,출원 특허·상표·디자인 일괄심사 서비스 제공,온라인,"민원,상담,법률",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
81,143000000018,지식재산거래 지원(특허기술 거래 중개 서비스 지원),복합,"민원,상담,법률",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,0.0
82,143000000019,사업화연계 지식재산 평가지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
83,143000000025,지역지식재산센터 내 코로나19 피해상담센터 운영,복합,"민원,상담,법률",전국,전체,중소기업,무관,0.0,0.0
84,145000000041,국내복귀기업 지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
85,145000000043,중소중견기업 해외M&A 지원,오프라인,"현금,현물",전국,전체,중견기업,무관,0.0,0.0
86,145000000047,서비스형 외국인투자지역 임대료 지원,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
87,145000000048,해외진출기업지원,오프라인,"현금,현물/민원,상담,법률",전국,전체,중견기업,무관,0.0,0.0
88,145000000061,조선해양기자재 해외시장개척지원,복합,기타,전국,전체,중견기업,무관,0.0,0.0
89,145000000069,해외 자원개발 조사지원,복합,"현금,현물",전국,전체,무관,광업/건설업,0.0,0.0
90,145000000073,조선해양기자재 수출역량강화,온라인,"현금,현물",전국,전체,중견기업,무관,0.0,0.0
91,145000000083,수출바우처 지원(산업통상자원부),온라인,복지,전국,전체,중견기업,교육 서비스업,0.0,0.0
92,145000000087,중소ㆍ중견기업 온실가스 감축 인프라 구축 지원,오프라인,"현금,현물",전국,전체,중소기업/중견기업,무관,0.0,0.0
93,145000000088,대·중·소 기업 온실가스 동반감축 지원(에너지동행 지원),온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
94,145000000089,생산성경영체제(PMS)보급 지원,복합,"현금,현물",전국,전체,중소기업,무관,0.0,0.0
95,145000000093,중소기업 컨설팅 및 관련 설비 지원,온라인,"현금,현물",전국,전체,중소기업,무관,0.0,0.0
96,145000000098,플랜트 수주지원센터 운영 지원,복합,"현금,현물",전국,전체,무관,무관,0.0,0.0
97,145000000099,중소형플랜트 수출 지원,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
98,148000000003,중소 환경기업 사업화 지원,온라인,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,0.0
99,148000000006,악취배출사업장 악취저감기술 지원,오프라인,기타,전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
100,149200000003,사회적기업 일자리창출사업,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
101,149200000006,산재예방시설 융자,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
103,149200000009,생활안정자금융자,복합,복지,전국,전체,무관,건설업,0.0,0.0
105,149200000014,클린사업장 조성 지원,온라인,"현금,현물",전국,전체,무관,건설업,0.0,0.0
106,149200000024,지역산업 맞춤형 일자리 창출 지원,복합,복지,전국,전체,무관,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
108,149200000027,체당금 조력 지원,복합,"복지/민원,상담,법률",전국,전체,무관,무관,0.0,0.0
110,149200000030,체불청산 지원 사업주 융자,복합,복지,전국,전체,무관,무관,0.0,0.0
111,149200000034,워라밸일자리 장려금 지원 사업,복합,"현금,현물",전국,전체,중견기업,무관,0.0,0.0
114,149200000044,직장어린이집 지원,복합,"현금,현물",전국,전체,중소기업,무관,0.0,0.0
116,149200000047,차별 없는 일터 자율 개선 지원,온라인,"복지/민원,상담,법률",전국,전체,무관,교육 서비스업,0.0,0.0
117,149200000049,산재예방요율제 사업,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/수도, 하수 및 폐기물 처리, 원료 재생업/교육 서비스업",0.0,0.0
119,149200000059,일학습병행 학습기업 지원,온라인,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
120,149200000060,기업복지활성화 지원,온라인,"복지/민원,상담,법률",전국,전체,무관,보건업 및 사회복지 서비스업,0.0,0.0
121,149200000065,국가인적자원개발컨소시엄지원,오프라인,복지,전국,전체,중소기업,무관,0.0,0.0
122,149200000069,업종별 재해예방 사업,온라인,기타,전국,전체,무관,"건설업/전문, 과학 및 기술 서비스업/보건업 및 사회복지 서비스업",0.0,0.0
123,149200000076,노사파트너십 프로그램 지원,온라인,"현금,현물",전국,전체,무관,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
124,149200000078,노사관계전문가 육성 지원,오프라인,"현금,현물",전국,전체,무관,"사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정/교육 서비스업",0.0,0.0
125,149200000083,유연근무제 도입·활용 지원,복합,"현금,현물",전국,전체,무관,무관,0.0,0.0
126,149200000087,근로조건 자율개선 지원사업,복합,"현금,현물",전국,전체,무관,무관,0.0,0.0
128,149200000090,일터혁신 컨설팅 지원,온라인,"민원,상담,법률",전국,전체,중소기업,교육 서비스업,0.0,0.0
130,149200000093,고용안정장려금지원(정규직전환지원),복합,"현금,현물",전국,전체,중견기업,건설업,0.0,0.0
131,149200000094,중소기업 학습조직화 지원,온라인,"현금,현물",전국,전체,대기업,무관,0.0,0.0
132,149200000125,우수숙련 기술인 우대지원,복합,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,0.0
133,149200000138,사회적경제기업 사업개발비 지원,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
134,149200000139,노사상생협력 교육 지원,온라인,기타,전국,전체,무관,교육 서비스업,0.0,0.0
135,149200000140,청년추가고용장려금,복합,복지,전국,전체,중견기업,무관,0.0,0.0
136,149200000141,일자리 안정자금 지원,복합,"현금,현물",전국,전체,무관,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
138,154300000002,식품 기능성 평가지원,복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
139,154300000004,식품외식종합자금,오프라인,"현금,현물",전국,전체,중소기업,"농업, 임업 및 어업/제조업/전문, 과학 및 기술 서비스업",0.0,0.0
140,154300000005,기술창업자금 지원,복합,"현금,현물",전국,전체,중소기업,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업",0.0,0.0
141,154300000010,사료산업종합지원,복합,"현금,현물",전국,전체,중소기업/중견기업/대기업,"농업, 임업 및 어업",0.0,0.0
142,154300000015,축산물 직거래 활성화 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업/도매 및 소매업",0.0,0.0
143,154300000016,농식품산업 해외진출 융자 지원,복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업",0.0,0.0
144,154300000017,인삼특용작물 유통시설지원,오프라인,"민원,상담,법률",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
145,154300000020,특용작물시설 현대화 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
146,154300000022,농업경영컨설팅 지원,오프라인,"민원,상담,법률",전국,전체,무관,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업",0.0,0.0
147,154300000024,농지보전부담금 감면,오프라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
148,154300000038,농어촌 관광휴양단지 및 관광농원 농업종합자금 융자 (농어촌 관광휴양자원 개발),오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
149,154300000055,"농촌 소규모 어린이집 및 이동식 놀이차량 운영 지원 (농촌공동아이돌봄센터, 이동식 놀이교실)",오프라인,복지,전국,전체,무관,숙박 및 음식점업,0.0,0.0
151,154300000058,농촌형 교통모델 지원,오프라인,복지,전국,전체,무관,운수 및 창고업,0.0,0.0
152,154300000061,전통발효식품육성,복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업/도매 및 소매업/교육 서비스업",0.0,0.0
153,154300000072,고품질쌀유통활성화사업,오프라인,"현금,현물",전국,전체,무관,"제조업/건설업/전문, 과학 및 기술 서비스업",0.0,0.0
154,154300000074,도매유통활성화지원사업(농산물도매시장 출하촉진),오프라인,"현금,현물",전국,전체,무관,도매 및 소매업,0.0,0.0
155,154300000076,인삼·특용계열화지원(융자),오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업",0.0,0.0
156,154300000077,농산물공동출하확대지원사업(물류기기공동이용지원),복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/도매 및 소매업",0.0,0.0
157,154300000079,농산물공동출하확대지원(공동선별비지원),복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
158,154300000080,산지통합마케팅지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
159,154300000081,산지유통활성화자금,온라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
160,154300000096,술 품질인증 신청비 등 지원사업,온라인,"현금,현물",전국,전체,중소기업,교육 서비스업,0.0,0.0
161,154300000110,밭작물공동경영체 육성 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업/건설업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
162,154300000113,식품소재 및 반가공산업 육성,오프라인,"현금,현물",전국,전체,대기업,"농업, 임업 및 어업/제조업/전문, 과학 및 기술 서비스업",0.0,0.0
163,154300000118,중소식품기업 경쟁력 강화,온라인,"현금,현물",전국,전체,중소기업,"농업, 임업 및 어업",0.0,0.0
164,154300000123,농식품 소비정책 강화,복합,"현금,현물/민원,상담,법률",전국,전체,무관,"전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
165,154300000129,6차산업 자금융자지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
166,154300000151,대체초지조성비 감면,오프라인,"현금,현물",전국,전체,중소기업,"농업, 임업 및 어업/수도, 하수 및 폐기물 처리, 원료 재생업/건설업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정/교육 서비스업",0.0,0.0
167,154300000161,경영회생지원 농지매입 사업,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
168,154300000172,농가사료직거래활성화지원,복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
169,154300000173,외식기업 해외진출 지원,온라인,"현금,현물",전국,전체,대기업,무관,0.0,0.0
170,154300000301,식량작물공동경영체육성사업,복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/교육 서비스업",0.0,0.0
171,154300000304,친환경퇴비 생산시설 현대화지원,복합,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
172,154300000306,(공익직불) 경관보전직불,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
173,154300000308,산지저온시설 및 저온수송차량 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/제조업",0.0,0.0
174,154300000312,농업농촌 자발적 온실가스 감축사업,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
175,154300000323,과수인공수분용꽃가루생산단지조성,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
176,154300000324,과수우량묘목생산지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/도매 및 소매업/전문, 과학 및 기술 서비스업",0.0,0.0
177,154300000326,유통시설현대화,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/건설업",0.0,0.0
178,154300000361,인삼생산시설현대화,오프라인,기타,전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
179,154300000377,농축산용미생물효능평가지원,온라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
180,154300000378,라이스랩 지원,오프라인,"현금,현물",전국,전체,무관,도매 및 소매업/교육 서비스업,0.0,0.0
181,154300000381,조사료 사일리지 제조·운송비 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
182,154300000391,한국농수산대학 졸업생 영농영어정착 우수과제사업,복합,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,0.0
183,154300000394,농기자재 수출기업 육성지원,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
184,154300000407,외식업체 육성자금(융자),온라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/건설업/숙박 및 음식점업",0.0,0.0
185,154300000409,기본형 공익직접지불금 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
186,154300005007,축산악취개선을 위한 가축분뇨처리시설 및 장비 지원,오프라인,기타,전국,전체,무관,"농업, 임업 및 어업/수도, 하수 및 폐기물 처리, 원료 재생업",0.0,0.0
188,161300000079,물류기업과 화주기업 추진 에너지 효율화와 온실가스 감축 사업 지원(녹색물류전환사업),복합,"현금,현물",전국,전체,무관,운수 및 창고업,0.0,0.0
189,161300000091,혁신도시 공공기관 연관산업 기업유치 등 지원,오프라인,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,0.0
190,169000000003,국방 중소기업 정책자금 융자 지원 사업,복합,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
191,169000000006,무기체계 개조개발 지원 사업,복합,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,0.0
192,169000000009,무기체계 핵심부품 국산화 개발 지원 사업,오프라인,"현금,현물",전국,전체,중소기업/중견기업,"전문, 과학 및 기술 서비스업",0.0,0.0
193,169000000011,글로벌 방위산업 강소기업 육성지원 사업,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
194,172100000010,코로나19 대응 정보통신‧방송 연구개발 사업 참여 중소‧중견기업 R&D 지원,온라인,"현금,현물",전국,전체,중소기업/중견기업,"정보통신업/전문, 과학 및 기술 서비스업",0.0,0.0
196,348000000233,농업에너지 이용효율화 시설 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업/건설업",0.0,0.0
197,425000000524,스마트팜 ICT융복합확산사업,오프라인,"현금,현물",전국,전체,중소기업/소상공인,"농업, 임업 및 어업/사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
198,432000000094,토양 개량제 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업/광업",0.0,0.0
199,475000000091,임산물 상품화 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
200,495000000308,공공산림가꾸기 사업(일자리제공),오프라인,복지,전국,전체,무관,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정/교육 서비스업",0.0,0.0
201,999000000004,배우자 출산휴가 급여,복합,"현금,현물",전국,전체,무관,무관,0.0,0.0
202,999000000009,고령자 계속 고용 장려금,복합,"현금,현물",전국,전체,중견기업,무관,0.0,0.0
205,999000000027,농어가목돈마련 저축장려금,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
206,999000000028,논활용(논이모작) 직접지불금 지원,오프라인,"현금,현물",전국,전체,무관,"농업, 임업 및 어업",0.0,0.0
210,999000000072,국내외전시회참가지원,오프라인,"현금,현물",전국,전체,무관,운수 및 창고업,0.0,0.0
211,999000000073,장애인기업 수출지원,오프라인,기타,전국,전체,무관,교육 서비스업,0.0,0.0
212,999000000075,초기창업패키지,온라인,"현금,현물",전국,전체,무관,무관,0.0,36.0
213,999000000076,창업도약패키지,온라인,"현금,현물",전국,전체,무관,무관,36.0,84.0
214,999000000077,소재·부품·장비 스타트업 100,온라인,"현금,현물",전국,전체,무관,"전문, 과학 및 기술 서비스업",0.0,84.0
215,999000000078,글로벌액셀러레이팅,온라인,"현금,현물",전국,전체,무관,무관,0.0,84.0
216,999000000079,민관공동 창업자발굴육성,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
217,999000000080,아기유니콘200 육성사업,온라인,"현금,현물",전국,전체,무관,무관,0.0,84.0
218,999000000081,사내벤처 육성,온라인,"현금,현물",전국,전체,무관,무관,0.0,0.0
220,999000000084,창업기업 서비스바우처,온라인,복지,전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,36.0
221,999000000086,창업존 운영,온라인,"현금,현물",전국,전체,무관,무관,0.0,84.0
222,GFO000000030,산림서비스도우미,복합,복지,전국,전체,무관,"농업, 임업 및 어업/숙박 및 음식점업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업/보건업 및 사회복지 서비스업",0.0,0.0
226,PTR000051411,유휴·저활용 연구시설장비 이전지원 서비스 제공(나눔장비 이전지원사업),복합,복지,전국,전체,중소기업,"전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
227,PTR000051505,국비유학생 선발 파견,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
228,PTR000051535,중소기업 법률 지원 신청,복합,"현금,현물/민원,상담,법률",전국,전체,중소기업,"공공 행정, 국방 및 사회보장 행정",0.0,0.0
229,PTR000051677,중소·중견기업 기술보호 상담 지원,복합,"민원,상담,법률",전국,전체,중소기업/중견기업,"전문, 과학 및 기술 서비스업",0.0,0.0
230,PTR000051678,중소·중견기업 기술자료 임치 지원,복합,기타,전국,전체,중소기업/대기업,"전문, 과학 및 기술 서비스업",0.0,0.0
231,PTR000051679,중소기업기술지킴서비스 지원,복합,기타,전국,전체,중소기업/중견기업,"전문, 과학 및 기술 서비스업",0.0,0.0
232,PTR000052152,지식재산 창출지원,복합,기타,전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
234,PTR000054374,지식재산 스마트 교육 서비스 제공(IP-Academy),온라인,기타,전국,전체,무관,"전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
235,SBA000000100,"자활근로(기초, 차상위)",오프라인,복지,전국,전체,무관,"전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
237,SD0000001678,해양 중소 벤처기업 기술개발 지원,온라인,"현금,현물",전국,전체,중소기업,"전문, 과학 및 기술 서비스업",0.0,0.0
238,SD0000002244,에너지 절약시설 설치 융자 지원,온라인,"현금,현물",전국,전체,중소기업,무관,0.0,0.0
239,SD0000002407,국토교통기술 사업화 지원,복합,"현금,현물",전국,전체,중소기업,"건설업/전문, 과학 및 기술 서비스업",0.0,0.0
