기업체명,업력(월),기업규모,업종(대분류),지역(광역시도),지역(시군구)
국제흥업(주),436,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,용산구
(주)파고다타워종로,255,중기업,교육 서비스업,서울특별시,종로구
방태산업 주식회사,316,중소기업,제조업,경기도,광주시
(주)성원아이북랜드,255,중기업,정보통신업,서울특별시,서초구
(주)이엔이,120,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",전라북도,전주시
주식회사 보다코리아,127,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
만덕신용협동조합,310,기타,금융 및 보험업,부산광역시,북구
(주)아마텍,276,중소기업,도매 및 소매업,충청남도,천안시
(주)스카이덴탈,236,중소기업,제조업,경기도,안양시
(주)한빛디젤,159,중소기업,제조업,경상남도,함안군
(주)아쿠아테크,189,중소기업,제조업,경기도,수원시
세진정밀,308,중소기업,제조업,인천광역시,남동구
주식회사 학산,502,중소기업,도매 및 소매업,서울특별시,강남구
(주)하이프런티어,215,소상공인,교육 서비스업,서울특별시,성동구
재단법인 포항테크노파크,254,기타,부동산업,경상북도,포항시
(주)위너스시티,413,중소기업,부동산업,서울특별시,서초구
현성상사주식회사,433,중소기업,제조업,인천광역시,남동구
주식회사현대씨엠,279,중소기업,제조업,전라북도,익산시
벽암개발(주),303,중기업,광업,서울특별시,송파구
(주)보안마법사,256,중소기업,정보통신업,서울특별시,서초구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
동해해운,366,중소기업,운수 및 창고업,서울특별시,종로구
(주)동해해운,63,소상공인,광업,경상북도,포항시
(주) 제논스포츠인터내셔날,235,중소기업,도매 및 소매업,경기도,남양주시
주식회사 유스팜,257,중소기업,제조업,서울특별시,금천구
(주)에스앤에스식품,246,중소기업,제조업,부산광역시,사하구
대웅알티(주),272,중소기업,제조업,경상남도,김해시
벨즈코퍼레이션(주),247,중소기업,제조업,서울특별시,강서구
모종1구역 주택재개발 정비사업조합,166,판단불가,건설업,충청남도,아산시
(주) 엠 앤 브이,197,중소기업,건설업,부산광역시,금정구
삼홍실업(주),434,중소기업,제조업,서울특별시,서초구
북한산종합건설(주),181,중소기업,건설업,서울특별시,도봉구
삼정케이피엠지(주),244,판단불가,"전문, 과학 및 기술 서비스업",서울특별시,강남구
삼호마린제사차 주식회사,163,중소기업,금융 및 보험업,서울특별시,중구
(주)지아이에이치씨,227,중소기업,정보통신업,서울특별시,강남구
뉴라인여신금융주식회사,329,판단불가,금융 및 보험업,서울특별시,서초구
엠제이투자시스템 주식회사,144,판단불가,금융 및 보험업,서울특별시,중구
대덕직물주식회사,421,중소기업,제조업,대구광역시,서구
(주)디에취지소싱,196,중소기업,제조업,서울특별시,금천구
(주)인터웨이브,229,판단불가,도매 및 소매업,서울특별시,강남구
(주식회사) 해성개발,139,중소기업,제조업,경상남도,창원시
태율회계법인,136,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)한국화성,316,중소기업,제조업,경상남도,김해시
(주)아이텍,221,중소기업,건설업,경기도,성남시
인성개발(주),354,중기업,건설업,충청북도,청주시
한국홀스팜(주),155,중소기업,부동산업,서울특별시,송파구
주식회사 용민,211,중소기업,부동산업,광주광역시,광산구
중견기업,중견기업,중견기업,중견기업,중견기업,중견기업
해운대지팝제일차유한회사,124,중소기업,금융 및 보험업,서울특별시,영등포구
(주)한국종합환경,276,중소기업,제조업,서울특별시,강남구
주식회사 베가,332,중소기업,제조업,경상북도,청도군
백명건설(주),330,중소기업,건설업,서울특별시,은평구
한국방송출판 주식회사,261,판단불가,정보통신업,서울특별시,구로구
더 디엔에스,326,중견기업,금융 및 보험업,대전광역시,유성구
주식회사 빅트론닉스,175,중소기업,제조업,경기도,부천시
주식회사대아파이낸스,291,중소기업,금융 및 보험업,경상북도,포항시
(주)백진디앤에스,173,중소기업,부동산업,경상북도,구미시
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
홍인관광산업(주),385,중소기업,제조업,대전광역시,유성구
웅진금융제일유한회사,138,중소기업,금융 및 보험업,서울특별시,중구
주식회사 셀프,245,판단불가,제조업,경기도,용인시
한성서적(주),229,중소기업,도매 및 소매업,부산광역시,사상구
건양개발(주),116,소기업,광업,충청남도,보령시
(주)에어프리덤,330,중소기업,운수 및 창고업,서울특별시,중구
(주)아이젠시스템즈,208,중소기업,제조업,서울특별시,금천구
건보식품,측정제한,중소기업,제조업,전라북도,진안군
내일시스템(주),273,중소기업,제조업,충청남도,천안시
블루솔텍주식회사,257,중소기업,제조업,부산광역시,사상구
비앤에프투자자문(주),254,판단불가,금융 및 보험업,서울특별시,영등포구
혜인자원,181,중견기업,광업,경상북도,울진군
주식회사 한마음산업개발,215,중소기업,부동산업,충청북도,청주시
(주)삼일홀딩스,97,중기업,금융 및 보험업,경기도,용인시
주식회사 도야인터내셔날,122,중소기업,도매 및 소매업,서울특별시,서초구
에이스이공이공(주),233,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,중구
(주)뱅커스앤트레이더스투자자문,156,중소기업,금융 및 보험업,서울특별시,영등포구
(주)한국휘슬러,측정제한,중소기업,도매 및 소매업,서울특별시,강남구
구산실업주식회사,517,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,중구
서초구민체육센터,169,판단불가,"예술, 스포츠 및 여가관련 서비스업",서울특별시,서초구
여흥토건(주),380,판단불가,건설업,서울특별시,서대문구
(주)밀레21,276,중소기업,정보통신업,서울특별시,강남
(주)디엔씨홀딩스,137,판단불가,도매 및 소매업,서울특별시,서초구
주식회사 에디텍,327,중소기업,제조업,서울특별시,구로구
(주)제니텔정보통신,276,중소기업,제조업,대전광역시,서구
(주)그린에너지,276,중소기업,도매 및 소매업,인천광역시,서구
주식회사 삼진,319,중소기업,건설업,충청남도,논산시
우광정보통신 주식회사,517,중소기업,제조업,경기도,안양시
(주) 한백종합기술공사,615,판단불가,"전문, 과학 및 기술 서비스업",대구광역시,동구
모아서울제일차유동화전문 유한회사,117,판단불가,금융 및 보험업,인천광역시,남구
(주)디지웨이브,278,중소기업,정보통신업,서울특별시,영등포구
안산에너지개발 주식회사,192,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",전라남도,화순군
이앤씨인프라 주식회사,169,대기업,부동산업,서울특별시,중구
한아름금호관광주식회사(구회사명: 금호고속관광주식회사),614,중소기업,운수 및 창고업,서울특별시,종로구
서울알루미늄주식회사,480,판단불가,제조업,인천광역시,서구
현대레저개발주식회사,163,중소기업,"예술, 스포츠 및 여가관련 서비스업",경기도,포천시
대성남양주(주),231,소기업,교육 서비스업,경기도,남양주시
(주)웅진씽크빅,173,중견기업,정보통신업,경기도,파주시
합천솔라파크(주),178,판단불가,"전기, 가스, 증기 및 공기 조절 공급업",경상남도,합천군
서해건설 주식회사,393,판단불가,건설업,인천광역시,남구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
(주)아이지엠글로벌,99,중기업,교육 서비스업,서울특별시,중구
델타무역(주),354,중소기업,부동산업,서울특별시,강남구
비제이건설주식회사,191,중소기업,건설업,경기도,성남시
월드이엔지 주식회사,136,중소기업,제조업,경상남도,창원시
주식회사 해서덕,186,판단불가,부동산업,충청북도,청주시
(주)태천,286,소상공인,광업,울산광역시,울주군
진도종합건설주식회사,515,중소기업,건설업,부산광역시,연제구
(주)모비클,210,중소기업,정보통신업,서울특별시,강남구
주식회사카스피,256,판단불가,제조업,경기도,파주시
주식회사 홍선,540,중소기업,부동산업,서울특별시,중구
(주)넥스트사이언스,717,중기업,광업,강원도,정선군
반송신용협동조합,538,기타,금융 및 보험업,부산광역시,해운대구
(주)파고다에스씨에스,216,중기업,교육 서비스업,서울특별시,서초구
(주)한국리레이,534,중소기업,제조업,인천광역시,서구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
주식회사 위즈국제물류,181,중소기업,운수 및 창고업,서울특별시,중구
(주)유토피아스파,200,중소기업,"협회 및 단체, 수리 및 기타 개인 서비스업",서울특별시,구로구
(주)영광기전,357,중소기업,제조업,경기도,시흥시
푸른곡산 주식회사,348,중소기업,제조업,강원도,춘천시
(주)데이원컴퍼니,52,중기업,교육 서비스업,서울특별시,강남구
주식회사 삼신,221,중소기업,부동산업,울산광역시,남구
주식회사 두림양행,419,중소기업,제조업,서울특별시,강동구
(주)엔톰애드,170,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)제이엠디벨럽먼트,191,중소기업,부동산업,서울특별시,강남구
우석개발(주),294,중소기업,건설업,전라남도,순천시
주식회사 협성섬유,276,중소기업,제조업,경기도,포천시
주식회사 선연,376,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,중구
(주)대유아이앤디,324,중소기업,부동산업,서울특별시,강남구
신정동하이츠제이차 주식회사,190,중소기업,금융 및 보험업,서울특별시,중구
(주)명인에듀,141,중기업,교육 서비스업,서울특별시,강남구
남양조선(주),470,중소기업,제조업,전라남도,여수시
(주)유피교육,267,소상공인,교육 서비스업,경상남도,김해시
(주)대양충전소,132,중소기업,도매 및 소매업,경기도,군포시
(주)대국무역,315,중소기업,제조업,서울특별시,강남구
(주)우리교육,339,중소기업,정보통신업,서울특별시,마포구
(주)제일코비,254,중소기업,제조업,서울특별시,송파구
(주)제일저축은행,642,대기업,금융 및 보험업,서울특별시,송파구
주식회사 에스비메트로,160,판단불가,"전문, 과학 및 기술 서비스업",대구광역시,동구
오토모티브스티어링코리아 유한회사,159,중소기업,도매 및 소매업,서울특별시,강남구
주식회사 아텍산업,273,중소기업,도매 및 소매업,경기도,안양시
(주)피에조테크놀리지,263,중소기업,제조업,서울특별시,성북구
범창산업(주),294,중소기업,제조업,경기도,안산시
주식회사 우주사,639,중소기업,제조업,서울특별시,서초구
환주산업(주),588,판단불가,도매 및 소매업,서울특별시,강서구
주식회사 엠유스포츠,312,판단불가,도매 및 소매업,서울특별시,강남구
플로우교육(주),141,중기업,교육 서비스업,경기도,성남시
(주)하이팩시스템,271,중소기업,제조업,경기도,평택시
(주)비바메디,138,중견기업,도매 및 소매업,서울특별시,서초구
주식회사 진흥,427,중소기업,제조업,경기도,이천시
보람회계법인,237,중소기업,"전문, 과학 및 기술 서비스업",대구광역시,남구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
주식회사 와이즈코프,183,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,서초구
(주)페리칸앤플러스,185,판단불가,제조업,경기도,용인시
제일써비스,222,중소기업,부동산업,대구광역시,서구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
소망학원,51,소상공인,교육 서비스업,서울특별시,서대문구
(주)대상쉬핑,154,중소기업,운수 및 창고업,울산광역시,남구
(주)라이즈에듀케이션코리아,88,중기업,교육 서비스업,서울특별시,강남구
(주)티에스마이크로,242,중소기업,제조업,경기도,안산시
코앤전자산업(주),293,중소기업,제조업,충청남도,천안시
(주)챔프스터디,181,중견기업,교육 서비스업,서울특별시,서초구
(주)제인스,138,중견기업,교육 서비스업,제주특별자치도,서귀포시
케이에스건설(주),238,판단불가,건설업,울산광역시,동구
(주)동국투자자문,258,중소기업,금융 및 보험업,서울특별시,중구
한국지방재정공제회,693,기타,부동산업,서울특별시,마포구
기유홀딩스주식회사,229,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,서초구
(주)씨케이솔라,195,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",전라남도,해남군
ITX마케팅(주),130,대기업,금융 및 보험업,서울특별시,영등포구
(주)드림산업개발,242,소기업,광업,경기도,포천시
(주)비엔씨바이오팜,271,판단불가,"전문, 과학 및 기술 서비스업",경기도,수원시
환희개발(주),332,중기업,광업,충청북도,청주시
한창실업주식회사,503,판단불가,제조업,부산광역시,중구
로키(주),244,중소기업,제조업,경상남도,마산시
삼양견직공업 주식회사,703,중소기업,제조업,충청북도,청주시
주식회사 스마트온커뮤니케이션,148,중소기업,제조업,서울특별시,구로구
리오파크산업개발(주),256,중소기업,부동산업,서울특별시,성동구
주식회사 낙원,306,중소기업,제조업,경기도,의정부시
(주)겨레석재산업,291,중소기업,건설업,서울특별시,광진구
멀티플렉스시리즈제삼차 유한회사,116,판단불가,금융 및 보험업,서울특별시,영등포구
(주)빌드온,141,중소기업,"예술, 스포츠 및 여가관련 서비스업",경기도,고양시
(주)퍼시픽랜드컴퍼니,352,중소기업,부동산업,서울특별시,강남구
(주)세동자원개발,114,소상공인,광업,경상북도,울진군
알라딘아트(주),441,중소기업,도매 및 소매업,대구광역시,수성구
(주)황성,231,중소기업,부동산업,경상남도,창원시
서울특별시여성능력개발원,237,판단불가,교육 서비스업,서울특별시,광진구
수림종합개발(주),334,중소기업,건설업,경기도,안산시
광림전건주식회사,181,중소기업,제조업,경기도,안산시
(주)정상제이엘에스,343,중견기업,교육 서비스업,서울특별시,강남구
주식회사 디오엠하우징,146,중소기업,건설업,경기도,평택시
주식회사 태빛,161,중소기업,제조업,서울특별시,금천구
(주)하늘개발,154,중소기업,부동산업,경상북도,구미시
(주)명성학원,251,중기업,교육 서비스업,서울특별시,은평구
대한주택이앤지(주),272,판단불가,건설업,서울특별시,서초구
(주)휴먼메디컬써플라이,201,중소기업,도매 및 소매업,서울특별시,송파구
(주)굿모닝시티,511,중소기업,부동산업,서울특별시,중구
맥섬석지엠(주),267,판단불가,제조업,경상북도,영천시
모아마스제오차유동화전문 유한회사,132,판단불가,금융 및 보험업,인천광역시,남구
(주)에프투시스템,280,중소기업,정보통신업,서울특별시,영등포구
오씨아이서울태양광발전주식회사,118,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",서울특별시,중구
국민석유 주식회사,99,중소기업,제조업,서울특별시,구로구
주식회사 훼미리라이프,392,중소기업,건설업,강원도,춘천시
(주)천일고속관광,590,중소기업,부동산업,부산광역시,동구
주식회사 코지드,162,판단불가,도매 및 소매업,서울특별시,강남구
(주)도요엔지니어링,272,중소기업,제조업,경기도,부천시
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
한국세큐리트주식회사,616,판단불가,제조업,전라북도,군산시
기성종합건설주식회사,306,중소기업,건설업,경상남도,김해시
주식회사 인큐벤처인베스트,254,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
다산폴리텍(주),247,중소기업,제조업,인천광역시,남동구
(주)고려이앤씨,139,소상공인,건설업,전라남도,장성군
주식회사 제이오,249,중소기업,부동산업,부산광역시,남구
협동물산(주),395,중소기업,제조업,부산광역시,진구
대국산업 주식회사,295,중소기업,제조업,경기도,파주시
오션윈글로벌코리아(주),161,중견기업,부동산업,충청남도,당진군
세일건설주식회사,230,중소기업,부동산업,경상남도,거제시
(주)윤스칼라,210,판단불가,정보통신업,서울특별시,마포구
부웅개발(주),189,중소기업,건설업,제주특별자치도,제주시
주식회사 송암스페이스센터,215,중소기업,"전문, 과학 및 기술 서비스업",경기도,양주시
주식회사 블루트리,109,중소기업,정보통신업,서울특별시,강남구
주식회사 대성,130,중소기업,부동산업,경기도,부천시
서두산업(주),477,중기업,광업,서울특별시,서초구
씨엘학숙(주),547,중기업,교육 서비스업,경상남도,창원시
(주)제너럴시스템,413,판단불가,제조업,서울특별시,강남구
주식회사 풍천엔지니어링,291,중소기업,제조업,서울특별시,영등포구
(주)유비홀딩스,184,중기업,부동산업,경기도,하남시
이지아이엔씨,252,중소기업,부동산업,서울특별시,종로구
(주)엔트,386,중소기업,부동산업,인천광역시,남구
씨앤씨학원(주),163,중기업,교육 서비스업,서울특별시,양천구
세븐에너지스틸,178,중소기업,광업,서울특별시,강남구
(주)동훈칸스빌,165,중소기업,부동산업,서울특별시,강남구
더케이교원나라(주),263,중소기업,도매 및 소매업,서울특별시,영등포구
주식회사 에이프로테크,135,중소기업,정보통신업,서울특별시,송파구
(주)이디엠에듀케이션,233,중기업,교육 서비스업,서울특별시,서초구
대일티앤씨 주식회사,258,중소기업,제조업,인천광역시,남동구
대주건설(주),246,판단불가,건설업,전라남도,화순군
원캐피탈대부(주),136,중소기업,금융 및 보험업,서울특별시,강남구
(주)셜대학원,64,중기업,교육 서비스업,대구광역시,수성구
(주)화천,308,중소기업,도매 및 소매업,경기도,성남시
주식회사 지케이미래 21,164,중소기업,부동산업,서울특별시,노원구
(주)규원,66,소상공인,부동산업,충청북도,청주시
주식회사데코빌,215,중소기업,부동산업,인천광역시,강화군
(주)정관디스플레이,137,판단불가,제조업,충청남도,아산시
(주)디조벤처,257,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,서초구
주식회사 성우효광,228,판단불가,도매 및 소매업,서울특별시,서초구
주식회사 씨에스엘,176,중소기업,제조업,경기도,안양시
삼선모터스 주식회사,172,중소기업,도매 및 소매업,부산광역시,해운대구
(주)조인시스템,380,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)브라운교육,197,소기업,정보통신업,서울특별시,성동구
(주)네오빌,257,판단불가,정보통신업,서울특별시,강남구
(주)성신,227,소기업,제조업,부산광역시,해운대구
(주)아리엘코퍼레이션,171,중소기업,제조업,인천광역시,부평구
(주)에스엘테크놀로지,276,중소기업,제조업,경기도,안양시
(주)우상,192,중소기업,도매 및 소매업,부산광역시,금정구
(주)명현유통,244,중기업,도매 및 소매업,경기도,이천시
동래역사개발 주식회사,168,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",부산광역시,동래구
(주)제일이앤엠,225,중소기업,제조업,경상북도,경주시
(주)태방기계,336,중소기업,제조업,경기도,화성시
주식회사동해,394,중소기업,건설업,전라남도,순천시
(주)영동기업,267,중기업,교육 서비스업,부산광역시,부산진구
(주)바인아이엔지,254,중소기업,정보통신업,대전광역시,서구
동성실업주식회사,690,중소기업,운수 및 창고업,부산광역시,영도구
(주)부성자동차운전전문학원,278,중소기업,교육 서비스업,경상남도,진해시
(주)조은나라,281,중소기업,도매 및 소매업,경기도,파주시
(주)아이엔지스토리,106,중기업,"전문, 과학 및 기술 서비스업",서울특별시,서초구
골든브릿지더블유엠경매부동산일호투자회사,196,중소기업,금융 및 보험업,서울특별시,영등포구
광주문화방송주식회사,643,판단불가,정보통신업,광주광역시,남구
지에스아이(주),156,중기업,"사업시설 관리, 사업 지원 및 임대 서비스업",경기도,성남시
주식회사 펜타비전,206,중소기업,정보통신업,서울특별시,강남구
성모신용협동조합,579,기타,금융 및 보험업,부산광역시,영도구
브이에프코리아,295,중소기업,제조업,경기도,김포시
주식회사 키트코,279,판단불가,"사업시설 관리, 사업 지원 및 임대 서비스업",울산광역시,중구
서면신용협동조합,600,기타,금융 및 보험업,부산광역시,부산진구
(주)밤비니교육센터,180,소기업,교육 서비스업,서울특별시,용산구
부산치과의사신용협동조합,564,기타,금융 및 보험업,부산광역시,동구
조은담배주식회사,173,판단불가,제조업,강원도,춘천시
성진건설산업(주),483,중소기업,"예술, 스포츠 및 여가관련 서비스업",제주특별자치도,제주시
주식회사 세퍼스시스템,312,중소기업,제조업,서울특별시,영등포구
(주)티엔에스개발,185,중소기업,부동산업,경상남도,김해시
메탈화학,259,중소기업,제조업,경상남도,진주시
(주)아시아디엔씨,237,판단불가,건설업,경기도,오산시
화인제삼차유동화전문 유한회사,107,중소기업,금융 및 보험업,서울특별시,종로구
현대광업(주),301,중기업,광업,울산광역시,남구
(주)한솔요리학원,246,중기업,교육 서비스업,서울특별시,종로구
매일랜드,147,판단불가,부동산업,서울특별시,용산구
(주)금광종합목재,467,중소기업,제조업,인천광역시,서구
주식회사 키소프트,276,중소기업,도매 및 소매업,서울특별시,강남구
(주)아이디스,292,중소기업,제조업,인천광역시,서구
멀티플렉스시리즈제이차 유한회사,116,중소기업,금융 및 보험업,서울특별시,영등포구
경원기업(주),720,중소기업,부동산업,경기도,평택시
아이스텀레드사모투자전문회사,175,중소기업,금융 및 보험업,서울특별시,강남구
(주)씨에스씨앤디,267,중소기업,건설업,서울특별시,서초구
주식회사 한국다까미야,328,중소기업,도매 및 소매업,부산광역시,사상구
(주)해양디앤씨,211,중소기업,건설업,서울특별시,영등포구
주식회사 예가디앤씨,183,중소기업,건설업,부산광역시,연제구
에이스텔레콤주식회사,321,중소기업,제조업,인천광역시,남동구
아이엔진산업개발(주),206,중소기업,건설업,경기도,성남시
주식회사 부경토건,204,중소기업,건설업,충청남도,천안시
메가스터디교육(주),76,중견기업,교육 서비스업,서울특별시,서초구
(주)서경,319,중소기업,제조업,경상남도,진주시
(주)로커스트레이딩,205,중소기업,부동산업,서울특별시,서초구
인싸이토 주식회사,163,판단불가,제조업,충청남도,천안시
동원건설(주),측정제한,중소기업,건설업,충청북도,청주시
(주)대원개발,167,소기업,광업,경상북도,고령군
주식회사용진일렉콤,253,중소기업,제조업,경기도,부천시
주식회사 노스빌골프랜드,191,판단불가,"예술, 스포츠 및 여가관련 서비스업",경상남도,창원시
금융감독원,277,판단제외,금융 및 보험업,서울특별시,영등포구
재단법인고촌장학재단,375,판단불가,"협회 및 단체, 수리 및 기타 개인 서비스업",부산광역시,금정구
주식회사 하나종합개발,144,중소기업,건설업,경기도,광주시
주식회사 에스이티,249,중소기업,정보통신업,서울특별시,강남구
주일건설주식회사,842,중소기업,건설업,경상북도,상주시
주식회사 웅선비지네스,492,중소기업,제조업,서울특별시,중구
디지탈이메이션 주식회사,315,중소기업,정보통신업,서울특별시,강남구
창형메디칼,171,판단불가,도매 및 소매업,대전광역시,서구
주식회사 덕암,227,중소기업,건설업,부산광역시,사하구
(주)에이치에스,138,중소기업,부동산업,강원도,삼척시
아이스텀투자(주),249,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)성신,450,중소기업,부동산업,경기도,안양시
(주)부산글로벌빌리지,149,중견기업,교육 서비스업,부산광역시,부산진구
디에치이앤이,216,중소기업,제조업,충청남도,천안시
신당6동새마을금고,527,판단불가,금융 및 보험업,서울특별시,중구
골든자원개발(주),100,소상공인,광업,서울특별시,종로구
인제화학,315,중소기업,제조업,전라남도,여수시
상지상사주식회사,526,중소기업,도매 및 소매업,서울특별시,서초구
농업회사법인 해남고구마식품 주식회사,121,중소기업,제조업,전라남도,해남군
(주)아이시스테크놀러지,294,중소기업,정보통신업,서울특별시,강남구
(주)천은엔지니어링,185,중소기업,도매 및 소매업,서울특별시,마포구
경림디엔씨 주식회사,303,중소기업,건설업,서울특별시,강남구
중랑신용협동조합,567,판단불가,금융 및 보험업,서울특별시,중랑구
청우산업(주),348,중기업,광업,강원도,횡성군
(주)에스에스이앤시,209,중소기업,건설업,충청북도,청주시
(주)유창테크,327,중소기업,제조업,충청북도,진천군
아시안트레딩(주),321,중소기업,도매 및 소매업,서울특별시,마포구
하나씨이엔씨(주),261,중소기업,부동산업,서울특별시,영등포구
주식회사 한화건설,169,판단불가,건설업,경상북도,영주시
대명콘텍(주),317,판단불가,제조업,경기도,화성시
(주)테슬라앤코,142,중소기업,제조업,서울특별시,용산구
애니맥스브로드캐스팅코리아(유),204,중소기업,정보통신업,서울특별시,영등포구
한국지엠서인천서비스센터(주),212,중기업,"협회 및 단체, 수리 및 기타 개인 서비스업",인천광역시,서구
(주)프리리치,157,판단불가,부동산업,서울특별시,성동구
주식회사 아썸,259,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,서초구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
주식회사 아스날,322,판단불가,제조업,서울특별시,서초구
주식회사테크노호텔,122,중소기업,부동산업,충청북도,청원군
(주)소이전자,267,판단불가,도매 및 소매업,경기도,안양시
주식회사 더머신,232,중소기업,제조업,경상남도,김해시
삼양리소스(주),70,중기업,광업,경기도,포천시
(주)삼천리무역,273,판단불가,도매 및 소매업,인천광역시,서구
(주)삼미지오테크,237,중소기업,건설업,경기도,성남시
주식회사비비앤씨,293,중소기업,정보통신업,서울특별시,강남
(주)프론티어씨알씨,263,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,서초구
(주)토픽이미지,334,중소기업,정보통신업,서울특별시,중구
태광섬유 주식회사,347,중소기업,제조업,경상북도,경산시
저먼모터스(주),305,중소기업,도매 및 소매업,경기도,용인시
주식회사 대원씨앤디,178,중소기업,건설업,경기도,김포시
살라시아워터스제삼차 주식회사,140,중소기업,금융 및 보험업,서울특별시,영등포구
주식회사 경도산업개발,236,중소기업,건설업,인천광역시,서구
(주)하니케어,256,중소기업,정보통신업,서울특별시,성북구
에스엘종합건설주식회사,310,중소기업,건설업,서울특별시,강남구
(주)한중유니온,302,중소기업,도매 및 소매업,서울특별시,중구
(주)엘트온,502,중소기업,제조업,충청남도,아산시
(주)한아해운,223,중기업,광업,인천광역시,연수구
외환아이제일차유동화전문 유한회사,94,중소기업,금융 및 보험업,서울특별시,중구
신원전설주식회사,581,중소기업,건설업,서울특별시,서대문구
삼성문화재단,676,기타,"예술, 스포츠 및 여가관련 서비스업",서울특별시,중구
일경개발(주),237,중소기업,건설업,부산광역시,중구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
(주)상원콘크리트,481,중소기업,제조업,서울특별시,강동구
(주)에스제이더블유인터내셔널,191,중기업,교육 서비스업,서울특별시,영등포구
주식회사 킨텍스몰,181,판단불가,부동산업,경기도,용인시
(주)케이에스에너지,52,소상공인,건설업,충청남도,천안시
(주)미진시스템,331,중소기업,제조업,서울특별시,구로구
(주)모보,451,대기업,제조업,경기도,오산시
성호건설주식회사,628,중소기업,건설업,경상북도,경산시
(주)코너지,170,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",전라남도,여수시
(주)세양개발,190,소기업,광업,경상북도,칠곡군
금성산업 주식회사,514,중소기업,제조업,전라남도,장성군
고려조선주식회사,390,중소기업,제조업,전라남도,목포시
화진복지산업(주),247,중소기업,부동산업,서울특별시,은평구
(주)동일기연,464,중소기업,제조업,경기도,화성시
(주)강산씨앤디,234,판단불가,부동산업,서울특별시,구로구
주식회사 올림픽개발,219,판단불가,제조업,서울특별시,강남구
주식회사유일엔지니어링,398,중소기업,건설업,서울특별시,서초구
트루프렌드학운제삼차 유한회사,86,중소기업,금융 및 보험업,서울특별시,영등포구
(주)준오아카데미,63,중기업,교육 서비스업,서울특별시,강남구
주식회사 제이에스더블유아이티코리아,186,중소기업,제조업,서울특별시,강남구
주식회사 범양화섬,346,중소기업,제조업,서울특별시,용산구
(주)한에듀테크,52,소상공인,교육 서비스업,서울특별시,금천구
로렌스시계공업(주),562,판단불가,제조업,서울특별시,마포구
(주)미리내,472,중기업,교육 서비스업,경기도,양평군
(주)대원씨앤엠,44,중기업,광업,울산광역시,울주군
(주)동신기업,622,중소기업,부동산업,서울특별시,성동구
고려이앤씨,227,중소기업,교육 서비스업,서울특별시,용산구
(주)인디넷,266,중소기업,도매 및 소매업,서울특별시,금천구
GB카드 주식회사,301,중소기업,정보통신업,서울특별시,구로구
(주)반우이앤씨,201,중소기업,부동산업,서울특별시,양천구
성지에스티,229,중소기업,제조업,부산광역시,사하구
(주)진명엔지니어링건축사사무소,325,중소기업,"전문, 과학 및 기술 서비스업",대구광역시,동구
유안약품 주식회사,280,중소기업,도매 및 소매업,광주광역시,동구
(주)펄서스테크놀러지,268,중소기업,제조업,경상북도,포항시
(주)케이스틸,332,중소기업,제조업,부산광역시,사상구
주식회사 플레너스투자자문,144,중소기업,금융 및 보험업,서울특별시,강남구
진성개발(주),356,소기업,광업,경상북도,경산시
(주)글로칼리,256,중소기업,정보통신업,서울특별시,용산구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
(주)아틀라스파이낸스,297,중소기업,금융 및 보험업,서울특별시,양천구
(주)아이랑놀기짱,81,중기업,교육 서비스업,경기도,성남시
대부이엠주식회사,224,중소기업,제조업,경기도,화성시
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
주식회사 라피앙스,157,판단불가,제조업,서울특별시,강남구
주식회사 에이스컴텍,247,중소기업,제조업,인천광역시,남동구
